"","attribute","question","details","id","variable_type","Variable","Title","SELECTION","area"
"191","Q120","Risk to be held accountable for giving or receiving a bribe",NA,191,"Core Variables - Perceptions of Corruption","E276","Risk in this country to be held accountable for giving or receiving a bribe, gift or favor in return for public service",1,"Legal"
"192","Q121","Impact of immigrants on the development of the country",NA,192,"Core Variables - Perceptions of Migration","G052","Evaluate the impact of immigrants on the development of [your country]",0,"not selected"
"193","Q122","Immigration in your country","Fills useful jobs in the workforce",193,"Core Variables - Perceptions of Migration","G053","Effects of immigrants on the development of [your country]: Fill useful jobs in the workforce",0,"not selected"
"194","Q123","Immigration in your country","Strengthens cultural diversity",194,"Core Variables - Perceptions of Migration","G054","Effects of immigrants on the development of [your country]: Strengthen cultural diversity",0,"not selected"
"195","Q124","Immigration in your country","Increases the crime rate",195,"Core Variables - Perceptions of Migration","G055","Effects of immigrants on the development of [your country]: Increase the crime rate",0,"not selected"
"196","Q125","Immigration in your country","Gives asylum to political refugees",196,"Core Variables - Perceptions of Migration","G056","Effects of immigrants on the development of [your country]: Give asylum to political refugees",0,"not selected"
"197","Q126","Immigration in your country","Increases the risks of terrorism",197,"Core Variables - Perceptions of Migration","G057","Effects of immigrants on the development of [your country]: Increase the risks of terrorism",0,"not selected"
"198","Q127","Immigration in your country","Helps poor people establish new lives",198,"Core Variables - Perceptions of Migration","G058","Effects of immigrants on the development of [your country]: Help poor people establish new lives",0,"not selected"
"199","Q128","Immigration in your country","Increases unemployment",199,"Core Variables - Perceptions of Migration","G059","Effects of immigrants on the development of [your country]: Increase unemployment",0,"not selected"
"200","Q129","Immigration in your country","Leads to social conflict",200,"Core Variables - Perceptions of Migration","G060","Effects of immigrants on the development of [your country]: Lead to social conflict",0,"not selected"
"201","Q130","Immigration policy preference",NA,201,"Core Variables - Perceptions of Migration","E143","Immigrant policy",0,"not selected"
"202","Q131","Secure in neighborhood",NA,202,"Core Variables - Perceptions of Security","H001","Secure in neighborhood",0,"not selected"
"203","Q132","Frequency in your neighborhood","Robberies",203,"Core Variables - Perceptions of Security","H002_01","Frequency in your neighborhood: Robberies",0,"not selected"
"204","Q133","Frequency in your neighborhood","Alcohol consumed in the streets",204,"Core Variables - Perceptions of Security","H002_02","Frequency in your neighborhood: Alcohol consumed in the streets",0,"not selected"
"205","Q134","Frequency in your neighborhood","Police or military interfere with peopleâ€™s pri",205,"Core Variables - Perceptions of Security","H002_03","Frequency in your neighborhood: Police or military interfere with people’s private life",0,"not selected"
"206","Q135","Frequency in your neighborhood","Racist behavior",206,"Core Variables - Perceptions of Security","H002_04","Frequency in your neighborhood: Racist behavior",0,"not selected"
"207","Q136","Frequency in your neighborhood","Drug sale in streets",207,"Core Variables - Perceptions of Security","H002_05","Frequency in your neighborhood: Drug sale in streets",0,"not selected"
"208","Q137","Frequency in your neighborhood","Street violence and fights",208,"Core Variables - Perceptions of Security","H008_05","How frequently do the following things occur in your neighborhood: Street violence and fights",0,"not selected"
"209","Q138","Frequency in your neighborhood","Sexual harassment",209,"Core Variables - Perceptions of Security","H008_06","How frequently do the following things occur in your neighborhood: Sexual harassment",0,"not selected"
"210","Q139","Things done for reasons of security","Didnâ€™t carry much money",210,"Core Variables - Perceptions of Security","H003_01","Things done for reasons of security: Didn’t carry much money",0,"not selected"
"211","Q140","Things done for reasons of security","Preferred not to go out at night",211,"Core Variables - Perceptions of Security","H003_02","Things done for reasons of security: Preferred not to go out at night",0,"not selected"
"212","Q141","Things done for reasons of security","Carried a knife, gun or other weapon",212,"Core Variables - Perceptions of Security","H003_03","Things done for reasons of security: Carried a knife, gun or other weapon",0,"not selected"
"213","Q142","Worries","Losing my job or not finding a job",213,"Core Variables - Perceptions of Security","H006_01","Worries: Losing my job or not finding a job",1,"Legal"
"214","Q143","Worries","Not being able to give one's children a good education",214,"Core Variables - Perceptions of Security","H006_02","Worries: Not being able to give one's children a good education",1,"Legal"
"215","Q144","Respondent was victim of a crime during the past year",NA,215,"Core Variables - Perceptions of Security","H004","Respondent was victim of a crime during the past year",0,"not selected"
"216","Q145","Respondent's family was victim of a crime during last year",NA,216,"Core Variables - Perceptions of Security","H005","Respondent's family was victim of a crime during last year",0,"not selected"
"217","Q146","Worries","A war involving my country",217,"Core Variables - Perceptions of Security","H006_03","Worries: A war involving my country",1,"Legal"
"218","Q147","Worries","A terrorist attack",218,"Core Variables - Perceptions of Security","H006_04","Worries: A terrorist attack",1,"Legal"
"219","Q148","Worries","A civil war",219,"Core Variables - Perceptions of Security","H006_05","Worries: A civil war",1,"Legal"
"220","Q149","Freedom and Equality - Which more important",NA,220,"Core Variables - Perceptions of Security","H008_07","Freedom and Equality - Which more important",1,"Legal"
"221","Q150","Freedom and security - Which more important",NA,221,"Core Variables - Perceptions of Security","H008_08","Freedom and securiy - Which more important",1,"Legal"
"222","Q151","Willingness to fight for country",NA,222,"Core Variables - Perceptions of Security","E012","Willingness to fight for country",1,"Legal"
"223","Q152","Aims of country","first choice",223,"Core Variables - Index of Postmaterialism","E001","Aims of country: first choice",1,"Legal"
"224","Q153","Aims of country","second choice",224,"Core Variables - Index of Postmaterialism","E002","Aims of country: second choice",1,"Legal"
"225","Q154","Aims of respondent","first choice",225,"Core Variables - Index of Postmaterialism","E003","Aims of respondent: first choice",1,"Legal"
"226","Q155","Aims of respondent","second choice",226,"Core Variables - Index of Postmaterialism","E004","Aims of respondent: second choice",1,"Legal"
"227","Q156","Most important","first choice",227,"Core Variables - Index of Postmaterialism","E005","Most important: first choice",1,"Legal"
"228","Q157","Most important","second choice",228,"Core Variables - Index of Postmaterialism","E006","Most important: second choice",1,"Legal"
"229","Q158","Science and technology are making our lives healthier, easier, and more comforta",NA,229,"Core Variables - Perceptions about Science and Technology","E217","Science and technology are making our lives healthier, easier, and more comfortable",1,"Technological"
"230","Q159","Because of science and technology, there will be more opportunities for the next",NA,230,"Core Variables - Perceptions about Science and Technology","E218","Because of science and technology, there will be more opportunities for the next generation",1,"Technological"
"231","Q160","We depend too much on science and not enough on faith",NA,231,"Core Variables - Perceptions about Science and Technology","E220","We depend too much on science and not enough on faith",1,"Technological"
"232","Q161","One of the bad effects of science is that it breaks down peopleâ€™s ideas of rig",NA,232,"Core Variables - Perceptions about Science and Technology","I001","One of the bad effects of science is that it breaks down people’s ideas of right and wrong",1,"Technological"
"233","Q162","It is not important for me to know about science in my daily life",NA,233,"Core Variables - Perceptions about Science and Technology","I002","It is not important for me to know about science in my daily life",1,"Technological"
"234","Q163","The world is better off, or worse off, because of science and technology",NA,234,"Core Variables - Perceptions about Science and Technology","E234","The world is better off, or worse off, because of science and technology",1,"Technological"
"235","Q164","Importance of God",NA,235,"Core Variables - Religious Values","F063","How important is God in your life",0,"not selected"
"236","Q165","Believe in","God",236,"Core Variables - Religious Values","F050","Believe in: God",0,"not selected"
"237","Q166","Believe in","life after death",237,"Core Variables - Religious Values","F051","Believe in: life after death",0,"not selected"
"238","Q167","Believe in","hell",238,"Core Variables - Religious Values","F053","Believe in: hell",0,"not selected"
"239","Q168","Believe in","heaven",239,"Core Variables - Religious Values","F054","Believe in: heaven",0,"not selected"
"240","Q169","Whenever science and religion conflict,  religion is always right",NA,240,"Core Variables - Religious Values","F202","Whenever science and religion conflict,  religion is always right",0,"not selected"
"241","Q170","The only acceptable religion  is my religion",NA,241,"Core Variables - Religious Values","F203","The only acceptable religion  is my religion",0,"not selected"
"242","Q171","How often do you attend religious services",NA,242,"Core Variables - Religious Values","F028","How often do you attend religious services",0,"not selected"
"243","Q172","How often do you pray",NA,243,"Core Variables - Religious Values","F028B","How often to you pray",0,"not selected"
"244","Q172R","How often do you pray (Constructed)",NA,244,"Core Variables - Religious Values",NA,NA,0,"not selected"
"245","Q173","Religious person",NA,245,"Core Variables - Religious Values","F034","Religious person",0,"not selected"
"246","Q174","Meaning of religion","To follow religious norms and ceremonies vs To do good to o",246,"Core Variables - Religious Values","F200","Meaning of religion: To follow religious norms and ceremonies vs To do good to other people",0,"not selected"
"247","Q175","Meaning of religion","To make sense of life after death vs To make sense of life",247,"Core Variables - Religious Values","F201","Meaning of religion: To make sense of life after death vs To make sense of life in this world",0,"not selected"
"248","Q176","Degree of agreement","Nowadays one often has trouble deciding which moral rules a",248,"Core Variables - Ethical Values","F206","Degree of agreement: Nowadays one often has trouble deciding which moral rules are the right ones to follow",0,"not selected"
"249","Q177","Justifiable","Claiming government benefits to which you are not entitled",249,"Core Variables - Ethical Values","F114A","Justifiable: Claiming government benefits to which you are not entitled",0,"not selected"
"250","Q178","Justifiable","Avoiding a fare on public transport",250,"Core Variables - Ethical Values","F115","Justifiable: Avoiding a fare on public transport",0,"not selected"
"251","Q179","Justifiable","Stealing property",251,"Core Variables - Ethical Values","F114B","Justifiable: Stealing property",0,"not selected"
"252","Q180","Justifiable","Cheating on taxes",252,"Core Variables - Ethical Values","F116","Justifiable: Cheating on taxes",0,"not selected"
"253","Q181","Justifiable","Someone accepting a bribe in the course of their duties",253,"Core Variables - Ethical Values","F117","Justifiable: Someone accepting a bribe",0,"not selected"
"254","Q182","Justifiable","Homosexuality",254,"Core Variables - Ethical Values","F118","Justifiable: Homosexuality",0,"not selected"
"255","Q183","Justifiable","Prostitution",255,"Core Variables - Ethical Values","F119","Justifiable: Prostitution",0,"not selected"
"256","Q184","Justifiable","Abortion",256,"Core Variables - Ethical Values","F120","Justifiable: Abortion",0,"not selected"
"257","Q185","Justifiable","Divorce",257,"Core Variables - Ethical Values","F121","Justifiable: Divorce",0,"not selected"
"258","Q186","Justifiable","Sex before marriage",258,"Core Variables - Ethical Values","F135A","Justifiable: Sex before marriage",0,"not selected"
"259","Q187","Justifiable","Suicide",259,"Core Variables - Ethical Values","F123","Justifiable: Suicide",0,"not selected"
"260","Q188","Justifiable","Euthanasia",260,"Core Variables - Ethical Values","F122","Justifiable: Euthanasia",0,"not selected"
"261","Q189","Justifiable","For a man to beat his wife",261,"Core Variables - Ethical Values","F199","Justifiable: For a man to beat his wife",0,"not selected"
"262","Q190","Justifiable","Parents beating children",262,"Core Variables - Ethical Values","F114C","Justifiable: Parents beating children",0,"not selected"
"263","Q191","Justifiable","Violence against other people",263,"Core Variables - Ethical Values","F114D","Justifiable: Violence against other people",0,"not selected"
"264","Q192","Justifiable","Terrorism as a political, ideological or religious mean",264,"Core Variables - Ethical Values","F114E","Justifiable: Terrorism as a political, ideological or religious mean",0,"not selected"
"265","Q193","Justifiable","Having casual sex",265,"Core Variables - Ethical Values","F132","Justifiable: Having casual sex",0,"not selected"
"266","Q194","Justifiable","Political violence",266,"Core Variables - Ethical Values","E290","Justifiable: Political violence",0,"not selected"
"267","Q195","Justifiable","Death penalty",267,"Core Variables - Ethical Values","F144_02","Justifiable: Death penalty",0,"not selected"
"268","Q196","Government has the right","Keep people under video surveillance in public areas",268,"Core Variables - Ethical Values","H009","Government has the right: Keep people under video surveillance in public areas",1,"Ethics"
"269","Q197","Government has the right","Monitor all e-mails and any other information exchange",269,"Core Variables - Ethical Values","H010","Government has the right: Monitor all e-mails and any other information exchanged on the Internet",1,"Ethics"
"270","Q198","Government has the right","Collect information about anyone living in [COUNTRY] w",270,"Core Variables - Ethical Values","H011","Government has the right: Collect information about anyone living in [COUNTRY] without their knowledge",1,"Ethics"
"271","Q199","Interest in politics",NA,271,"Core Variables - Political Interest and Political Participation","E023","Interest in politics",1,"Political"
"272","Q200","How often discusses political matters with friends",NA,272,"Core Variables - Political Interest and Political Participation","A062","How often discusses political matters with friends",1,"Political"
"273","Q201","Information source","Daily newspaper",273,"Core Variables - Political Interest and Political Participation","E248B","Information source: Daily newspaper (B)",1,"Political"
"274","Q202","Information source","TV news",274,"Core Variables - Political Interest and Political Participation","E258B","Information source: TV news (B)",1,"Political"
"275","Q203","Information source","Radio news",275,"Core Variables - Political Interest and Political Participation","E259B","Information source: Radio news (B)",1,"Political"
"276","Q204","Information source","Mobile phone",276,"Core Variables - Political Interest and Political Participation","E260B","Information source: Mobile phone (B)",1,"Political"
"277","Q205","Information source","Email",277,"Core Variables - Political Interest and Political Participation","E261B","Information source: Email (B)",1,"Political"
"278","Q206","Information source","Internet",278,"Core Variables - Political Interest and Political Participation","E262B","Information source: Internet (B)",1,"Political"
"279","Q207","Information source","Social media (Facebook, Twitter, etc.)",279,"Core Variables - Political Interest and Political Participation","E253B","Information source: Social media (Facebook, Twitter, etc.)",1,"Political"
"280","Q208","Information source","Talk with friends or colleagues",280,"Core Variables - Political Interest and Political Participation","E254B","Information source: Talk with friends or colleagues (B)",1,"Political"
"281","Q209","Political action","Signing a petition",281,"Core Variables - Political Interest and Political Participation","E025","Political action: Signing a petition",1,"Political"
"282","Q210","Political action","Joining in boycotts",282,"Core Variables - Political Interest and Political Participation","E026","Political action: joining in boycotts",1,"Political"
"283","Q211","Political action","Attending lawful/peaceful demonstrations",283,"Core Variables - Political Interest and Political Participation","E027","Political action: attending lawful/peaceful demonstrations",1,"Political"
"284","Q212","Political action","Joining unofficial strikes",284,"Core Variables - Political Interest and Political Participation","E028","Political action: joining unofficial strikes",1,"Political"
"285","Q213","Social activism","Donating to a group or campaign",285,"Core Variables - Political Interest and Political Participation","E286","Social activism: Donating to a group or campaign",1,"Political"
"286","Q214","Social activism","Contacting a government official",286,"Core Variables - Political Interest and Political Participation","E287","Social activism: Contacting a government official",1,"Political"
"287","Q215","Social activism","Encouraging others to take action about political issues",287,"Core Variables - Political Interest and Political Participation","E288","Social activism: Encouraging others to take action about political issues",1,"Political"
"288","Q216","Social activism","Encouraging others to vote",288,"Core Variables - Political Interest and Political Participation","E289","Social activism: Encouraging others to vote",1,"Political"
"289","Q217","Political actions online","Searching information about politics and political eve",289,"Core Variables - Political Interest and Political Participation","E282","Political actions using Internet: Searching information about politics and political events",1,"Political"
"290","Q218","Political actions online","Signing an electronic petition",290,"Core Variables - Political Interest and Political Participation","E283","Political actions using Internet: Signing an electronic petition",1,"Political"
"291","Q219","Political actions online","Encouraging other people to take any form of political",291,"Core Variables - Political Interest and Political Participation","E284","Political actions using Internet: Encouraging other people to take any form of political action",1,"Political"
"292","Q220","Political actions online","Organizing political activities, events, protests",292,"Core Variables - Political Interest and Political Participation","E285","Political actions using Internet: Organizing political activities, events, protests",1,"Political"
"293","Q221","Vote in elections","local level",293,"Core Variables - Political Interest and Political Participation","E263","Vote in elections: local level",1,"Political"
"294","Q222","Vote in elections","national level",294,"Core Variables - Political Interest and Political Participation","E264","Vote in elections: National level",1,"Political"
"295","Q223","Which party would you vote for if there were a national election tomorrow",NA,295,"Core Variables - Political Interest and Political Participation","E179WVS","Which party would you vote for: first choice (WVS)",1,"Political"
"296","Q223_ABREV","Party preference Abbreviation",NA,296,"Core Variables - Political Interest and Political Participation",NA,NA,1,"Political"
"297","Q223_LOCAL","Party preference Local name",NA,297,"Core Variables - Political Interest and Political Participation","E179_WVS7LOC","Which party would you vote for if there were a national election tomorrow (Local names)",1,"Political"
"298","Q224","How often in country's elections","Votes are counted fairly",298,"Core Variables - Political Interest and Political Participation","E265_01","How often in country's elections: Votes are counted fairly",1,"Political"
"299","Q225","How often in country's elections","Opposition candidates are prevented from runni",299,"Core Variables - Political Interest and Political Participation","E265_02","How often in country's elections: Opposition candidates are prevented from running",1,"Political"
"300","Q226","How often in country's elections","TV news favors the governing party",300,"Core Variables - Political Interest and Political Participation","E265_03","How often in country's elections: TV news favors the governing party",1,"Political"
"301","Q227","How often in country's elections","Voters are bribed",301,"Core Variables - Political Interest and Political Participation","E265_04","How often in country's elections: Voters are bribed",1,"Political"
"302","Q228","How often in country's elections","Journalists provide fair coverage of elections",302,"Core Variables - Political Interest and Political Participation","E265_05","How often in country's elections: Journalists provide fair coverage of elections",1,"Political"
"303","Q229","How often in country's elections","Election officials are fair",303,"Core Variables - Political Interest and Political Participation","E265_06","How often in country's elections: Election officials are fair",1,"Political"
"304","Q230","How often in country's elections","Rich people buy elections",304,"Core Variables - Political Interest and Political Participation","E265_07","How often in country's elections: Rich people buy elections",1,"Political"
"305","Q231","How often in country's elections","Voters are threatened with  violence at the po",305,"Core Variables - Political Interest and Political Participation","E265_08","How often in country's elections: Voters are threatened with  violence at the polls",1,"Political"
"306","Q232","How often in country's elections","Voters are offered a genuine choice in the ele",306,"Core Variables - Political Interest and Political Participation","E265_09","How often in country's elections: Voters are offered a genuine choice in the elections",1,"Political"
"307","Q233","How often in country's elections","Women have equal opportunities to run the offi",307,"Core Variables - Political Interest and Political Participation","E265_10","How often in country´s elections: Women have equal opportunities to run the office",1,"Political"
"308","Q234","Some people think that having honest elections makes a lot of difference in thei",NA,308,"Core Variables - Political Interest and Political Participation","E266","Some people think that having honest elections makes a lot of difference in their lives;  other people think that it doesn’t matter much",1,"Political"
"309","Q234A","How much would you say the political system in your country allows people like y",NA,309,"Core Variables - Political Interest and Political Participation","E291","How much would you say the political system in your country allows people like you to have a say in what the government does?",1,"Political"
"310","Q235","Political system","Having a strong leader who does not have to bother with parlia",310,"Core Variables - Political Culture and Political Regimes","E114","Political system: Having a strong leader",1,"Political"
"311","Q236","Political system","Having experts, not government, make decisions according to wh",311,"Core Variables - Political Culture and Political Regimes","E115","Political system: Having experts make decisions",1,"Political"
"312","Q237","Political system","Having the army rule",312,"Core Variables - Political Culture and Political Regimes","E116","Political system: Having the army rule",1,"Political"
"313","Q238","Political system","Having a democratic political system",313,"Core Variables - Political Culture and Political Regimes","E117","Political system: Having a democratic political system",1,"Political"
"314","Q239","Political system","Having a system governed by religious law in which there are n",314,"Core Variables - Political Culture and Political Regimes","E117B","Political system: Having a system governed by religious law in which there are no political parties or elections",1,"Political"
"315","Q240","Left-right political scale",NA,315,"Core Variables - Political Culture and Political Regimes","E033","Self positioning in political scale",1,"Political"
"316","Q241","Democracy","Governments tax the rich and subsidize the poor",316,"Core Variables - Political Culture and Political Regimes","E224","Democracy: Governments tax the rich and subsidize the poor.",1,"Political"
"317","Q242","Democracy","Religious authorities interpret the laws",317,"Core Variables - Political Culture and Political Regimes","E225","Democracy: Religious authorities interpret the laws.",1,"Political"
"318","Q243","Democracy","People choose their leaders in free elections",318,"Core Variables - Political Culture and Political Regimes","E226","Democracy: People choose their leaders in free elections.",1,"Political"
"319","Q244","Democracy","People receive state aid for unemployment",319,"Core Variables - Political Culture and Political Regimes","E227","Democracy: People receive state aid for unemployment.",1,"Political"
"320","Q245","Democracy","The army takes over when government is incompetent",320,"Core Variables - Political Culture and Political Regimes","E228","Democracy: The army takes over when government is incompetent.",1,"Political"
"321","Q246","Democracy","Civil rights protect peopleâ€™s liberty against oppression",321,"Core Variables - Political Culture and Political Regimes","E229","Democracy: Civil rights protect people’s liberty against oppression.",1,"Political"
"322","Q247","Democracy","The state makes people's incomes equal",322,"Core Variables - Political Culture and Political Regimes","E233A","Democracy: The state makes people's incomes equal",1,"Political"
"323","Q248","Democracy","People obey their rulers",323,"Core Variables - Political Culture and Political Regimes","E233B","Democracy: People obey their rulers",1,"Political"
"324","Q249","Democracy","Women have the same rights as men",324,"Core Variables - Political Culture and Political Regimes","E233","Democracy: Women have the same rights as men.",1,"Political"
"325","Q250","Importance of democracy",NA,325,"Core Variables - Political Culture and Political Regimes","E235","Importance of democracy",1,"Political"
"326","Q251","How democratically is this country being governed today",NA,326,"Core Variables - Political Culture and Political Regimes","E236","Democraticness in own country",1,"Political"
"327","Q252","Satisfaction with the political system performance",NA,327,"Core Variables - Political Culture and Political Regimes","E111_01","Satisfaction with the political system performance",1,"Political"
"328","Q253","Respect for individual human rights nowadays",NA,328,"Core Variables - Political Culture and Political Regimes","E124","Respect for individual human rights nowadays",1,"Political"
"329","Q254","National pride",NA,329,"Core Variables - Political Culture and Political Regimes","G006","How proud of nationality",1,"Political"
"330","Q255","Feel close to your village, town or city",NA,330,"Core Variables - Political Culture and Political Regimes","G255","How close you feel: Your [village, town or city]",1,"Political"
"331","Q256","Feel close to your district, region",NA,331,"Core Variables - Political Culture and Political Regimes","G256","Feel close to your district, region",1,"Political"
"332","Q257","Feel close to your country",NA,332,"Core Variables - Political Culture and Political Regimes","G257","Feel close to your country",1,"Political"
"333","Q258","Feel close to your continent",NA,333,"Core Variables - Political Culture and Political Regimes","G062","How close you feel: Continent; e.g. Europe, Asia etc.]",1,"Political"
"334","Q259","Feel close to the world",NA,334,"Core Variables - Political Culture and Political Regimes","G063","How close you feel: World",1,"Political"
"335","Q260","Sex",NA,335,"Demographic and Socioeconomic Variables","X001","Sex",0,"not selected"
"336","Q261","Year of birth",NA,336,"Demographic and Socioeconomic Variables","X002","Year of birth",0,"not selected"
"337","Q262","Age",NA,337,"Demographic and Socioeconomic Variables","X003","Age",0,"not selected"
"338","X003R","Age recoded (6 intervals)",NA,338,"Demographic and Socioeconomic Variables","X003R","Age recoded (6 intervals)",0,"not selected"
"339","X003R2","Age recoded (3 intervals)",NA,339,"Demographic and Socioeconomic Variables","X003R2","Age recoded (3 intervals)",0,"not selected"
"340","Q263","Respondent immigrant",NA,340,"Demographic and Socioeconomic Variables","G027A","Respondent immigrant",0,"not selected"
"341","Q264","Mother immigrant",NA,341,"Demographic and Socioeconomic Variables","G026","Mother immigrant",0,"not selected"
"342","V002","Mother born in country",NA,342,"Demographic and Socioeconomic Variables","V002","Mother born in country",0,"not selected"
"343","Q265","Father immigrant",NA,343,"Demographic and Socioeconomic Variables","G027","Father immigrant",0,"not selected"
"344","V001","Father born in country",NA,344,"Demographic and Socioeconomic Variables","V001","Father born in country",0,"not selected"
"345","Q266","Country of birth","Respondent",345,"Demographic and Socioeconomic Variables","X002_02A","Respondents country of birth - ISO 3166-1 code",0,"not selected"
"346","X002_02B","Respondents country of birth (ISO 3166-1/3 Alpha code)",NA,346,"Demographic and Socioeconomic Variables",NA,NA,0,"not selected"
"347","Q267","Country of birth","Mother of the respondent",347,"Demographic and Socioeconomic Variables","V002A","Mothers country of birth - ISO 3166-1 code",0,"not selected"
"348","V002A_01","Mothers country of birth (ISO 3166-1/3 Alpha code)",NA,348,"Demographic and Socioeconomic Variables",NA,NA,0,"not selected"
"349","Q268","Country of birth","Father of the respondent",349,"Demographic and Socioeconomic Variables","V001A","Fathers country of birth - ISO 3166-1 code",0,"not selected"
"350","V001A_01","Fathers country of birth (ISO 3166-1/3 Alpha code)",NA,350,"Demographic and Socioeconomic Variables",NA,NA,0,"not selected"
"351","Q269","Respondent citizen",NA,351,"Demographic and Socioeconomic Variables","G027B","Respondent citizen",0,"not selected"
"352","Q270","Number of people in household",NA,352,"Demographic and Socioeconomic Variables","X013","Number of people in household",0,"not selected"
"353","Q271","Do you live with your parents",NA,353,"Demographic and Socioeconomic Variables","X026","Do you live with your parents",0,"not selected"
"354","Q272","Language at home",NA,354,"Demographic and Socioeconomic Variables","G016","Language at home",0,"not selected"
"355","Q273","Marital status",NA,355,"Demographic and Socioeconomic Variables","X007","Marital status",0,"not selected"
"356","Q274","How many children do you have",NA,356,"Demographic and Socioeconomic Variables","X011","How many children do you have",0,"not selected"
"357","Q275","Highest educational level","Respondent [ISCED 2011]",357,"Demographic and Socioeconomic Variables","X025A_01","Highest educational level attained - Respondent ISCED-2011",0,"not selected"
"358","Q275A","Highest educational level","Respondent (country specific)",358,"Demographic and Socioeconomic Variables","X025CSWVS","Education (country specific)",0,"not selected"
"359","Q275R","Highest educational level","Respondent (recoded into 3 groups)",359,"Demographic and Socioeconomic Variables","X025R","Education level (recoded)",0,"not selected"
"360","Q276","Highest educational level","Respondent's Spouse [ISCED 2011]",360,"Demographic and Socioeconomic Variables","W002A_01","Highest educational level attained - Respondent´s Spouse ISCED",0,"not selected"
"361","Q276A","Highest educational level","Respondent's Spouse (country specific)",361,"Demographic and Socioeconomic Variables","W002D","Country specific: Education level partner",0,"not selected"
"362","Q276R","Highest educational level","Respondent's Spouse (recoded into 3 groups)",362,"Demographic and Socioeconomic Variables","W002R","educational level partner (recoded)",0,"not selected"
"363","Q277","Highest educational level","Respondent's Mother [ISCED 2011]",363,"Demographic and Socioeconomic Variables","V004AM_01","Highest educational level attained - Respondent´s Mother ISCED",0,"not selected"
"364","Q277A","Highest educational level","Respondent's Mother (country specific)",364,"Demographic and Socioeconomic Variables",NA,NA,0,"not selected"
"365","Q277R","Highest educational level","Respondent's Mother (recoded into 3 groups)",365,"Demographic and Socioeconomic Variables","V004RM","Highest educational level attained - Respondent´s Mother (Recoded)",0,"not selected"
"366","Q278","Highest educational level","Respondent's Father [ISCED 2011]",366,"Demographic and Socioeconomic Variables","V004AF_01","Highest educational level attained - Respondent´s Father ISCED",0,"not selected"
"367","Q278A","Highest educational level","Respondent's Father (country specific)",367,"Demographic and Socioeconomic Variables",NA,NA,0,"not selected"
"368","Q278R","Highest educational level","Respondent's Father (recoded into 3 groups)",368,"Demographic and Socioeconomic Variables","V004RF","Highest educational level attained - Respondent´s Father (Recoded)",0,"not selected"
"369","Q279","Employment status",NA,369,"Demographic and Socioeconomic Variables","X028","Employment status",0,"not selected"
"370","Q280","Employment status - Respondent's Spouse",NA,370,"Demographic and Socioeconomic Variables","W003","Employment status - Responent´s Spouse",0,"not selected"
"371","Q281","Respondent - Occupational group",NA,371,"Demographic and Socioeconomic Variables","X036E","Respondent - Occupational group (WVS)",0,"not selected"
"372","Q282","Respondent's Spouse - Occupational group",NA,372,"Demographic and Socioeconomic Variables","W006E","Respondent´s Spouse - Occupational group (WVS)",0,"not selected"
"373","Q283","Respondent's Father - Occupational group (when respondent was 14 years old)",NA,373,"Demographic and Socioeconomic Variables","V097EF","Respondent´s Father - Occupational group (when respondent was 14 years old) (WVS)",0,"not selected"
"374","Q284","Sector of employment",NA,374,"Demographic and Socioeconomic Variables","X052","Institution of occupation",0,"not selected"
"375","Q285","Are you the chief wage earner in your house",NA,375,"Demographic and Socioeconomic Variables","X040","Are you the chief wage earner in your house",0,"not selected"
"376","Q286","Family savings during past year",NA,376,"Demographic and Socioeconomic Variables","X044","Family savings during past year",0,"not selected"
"377","Q287","Social class (subjective)",NA,377,"Demographic and Socioeconomic Variables","X045","Social class (subjective)",0,"not selected"
"378","Q288","Scale of incomes",NA,378,"Demographic and Socioeconomic Variables","X047_WVS","Scale of incomes",0,"not selected"
"379","Q288R","Income level (Recoded)",NA,379,"Demographic and Socioeconomic Variables","X047R_WVS","Subjective income level (recoded in 3 groups)",0,"not selected"
"380","Q289","Religious denominations - major groups",NA,380,"Demographic and Socioeconomic Variables","F025","Religious denominations - major groups",0,"not selected"
"381","Q289CS9","Religious denomination - detailed list",NA,381,"Demographic and Socioeconomic Variables","F025_WVS","Religious denomination - detailed list",0,"not selected"
"382","Q290","Ethnic group",NA,382,"Demographic and Socioeconomic Variables","X051","Ethnic group",0,"not selected"
"383","Q291G1","Government","Overall, the government is competent and efficient",383,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"384","Q291G2","Government","The government usually carries out its duties poorly",384,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"385","Q291G3","Government","The government usually acts in its own interests",385,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"386","Q291G4","Government","The government wants to do its best to serve the country",386,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"387","Q291G5","Government","The government is generally free of corruption",387,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"388","Q291G6","Government","The governmentâ€™s work is open and transparent",388,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"389","Q291P1","Parliament","Overall, parliament is competent and efficient",389,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"390","Q291P2","Parliament","Parliament usually carries out its duties poorly",390,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
"391","Q291P3","Parliament","Parliament  usually acts in its own interests",391,"Regional and thematic modules - Political trust module",NA,NA,0,"not selected"
